# MYU0 DgnComment_EN.tbin RUS utf-8
# rows=16 cols=2 field3=0x1F
# row	col	enc	text
0	0	utf-8	А? Этот %s
0	1	utf-8	ведёт себя подозрительно...
1	0	utf-8	А? Этот %s
1	1	utf-8	ведёт себя подозрительно...
2	0	utf-8	А? Этот %s
2	1	utf-8	ведёт себя подозрительно...
3	0	utf-8	А? Этот %s
3	1	utf-8	ведёт себя подозрительно...
4	0	utf-8	%s явился!
4	1	utf-8	
5	0	utf-8	%s явился!
5	1	utf-8	
6	0	utf-8	%s явился!
6	1	utf-8	
7	0	utf-8	%s явился!
7	1	utf-8	
8	0	utf-8	А, это %s.
8	1	utf-8	
9	0	utf-8	Грибтастика!
9	1	utf-8	
10	0	utf-8	Мизинец чешется!
10	1	utf-8	Герои где-то рядом!
11	0	utf-8	Ещё герои?!
11	1	utf-8	За что мне всё это?
12	0	utf-8	Хм, %s успокоился...
12	1	utf-8	
13	0	utf-8	IQ данжа вырос!
13	1	utf-8	
14	0	utf-8	IQ данжа упал...
14	1	utf-8	
15	0	utf-8	Копательная сила кончилась...
15	1	utf-8	
