# MYU0 LoadingText_EN.tbin RUS utf-8
# rows=13 cols=2 field3=0x1F
# row	col	enc	text
0	0	utf-8	Зона 1: башня Дундадундун
0	1	utf-8	Тренировка — не затычка в меню, честно!
1	0	utf-8	Зона 2: башня Лудгала
1	1	utf-8	В Покоях Бэдмена ставь любые опыты!
2	0	utf-8	Зона 3: замок Нонаим
2	1	utf-8	Финал, ставки растут! Давай, гад!
3	0	utf-8	Тренировка
3	1	utf-8	Научись бить святош-героев по морде!
4	0	utf-8	Продвинутая
4	1	utf-8	Подлость +104%, гарантия от Бэдмена!
5	0	utf-8	Данж на день
5	1	utf-8	Данж в день — и герои прочь!
6	0	utf-8	Экзамен на бога
6	1	utf-8	Мобильники выключить. Это не шутка.
7	0	utf-8	Покои Бэдмена
7	1	utf-8	Данжи как снежинки: двух одинаковых нет!
8	0	utf-8	Бэдмен и Бэдмелла
8	1	utf-8	А если киркой махать вдвоём?!
9	0	utf-8	Чудо-данж
9	1	utf-8	Подглядывай за соседом кнопкой L!
10	0	utf-8	Сонный данж
10	1	utf-8	Ломать вдвоём куда веселее!
11	0	utf-8	Повторы
11	1	utf-8	Старые подвиги (розовые очки — отдельно).
12	0	utf-8	
12	1	utf-8	
