# MYU0 MonsterName_EN.tbin RUS utf-8
# rows=368 cols=1 field3=0x1F
# row	col	enc	text
0	0	utf-8	Бэдмен
1	0	utf-8	Слизьмох
2	0	utf-8	Янки-слизьмох
3	0	utf-8	Гиацин-слизьмох
4	0	utf-8	Слиземандо
5	0	utf-8	Капитан-слизь
6	0	utf-8	Слизерелла
7	0	utf-8	Слизьбутон
8	0	utf-8	Янки-бутон
9	0	utf-8	Гиацин-бутон
10	0	utf-8	Бутон-мандо
11	0	utf-8	Капитан-бутон
12	0	utf-8	Бутон-золушка
13	0	utf-8	Слизьцвет
14	0	utf-8	Слизьлепесток
15	0	utf-8	Гиацин-цвет
16	0	utf-8	Цветок-мандо
17	0	utf-8	Капитан-цвет
18	0	utf-8	Цветок-золушка
19	0	utf-8	Параслизьмох
20	0	utf-8	Параянки-мох
21	0	utf-8	Парагиацин-мох
22	0	utf-8	Парамандо-мох
23	0	utf-8	Паракапитан-мох
24	0	utf-8	Парабутон
25	0	utf-8	Параянки-бутон
26	0	utf-8	Парагиацин-бутон
27	0	utf-8	Парамандо-бутон
28	0	utf-8	Паракапитан-бутон
29	0	utf-8	Парацвет
30	0	utf-8	Паралепесток
31	0	utf-8	Парагиацин-цвет
32	0	utf-8	Парамандо-цвет
33	0	utf-8	Паракапитан-цвет
34	0	utf-8	Толстомох
35	0	utf-8	Янки-гигантомох
36	0	utf-8	Гиацин-гигантомох
37	0	utf-8	Гига-слиземандо
38	0	utf-8	Гига-капитан-мох
39	0	utf-8	Липкая амёба
40	0	utf-8	Заморская амёба
41	0	utf-8	Блестящая амёба
42	0	utf-8	Демоёба
43	0	utf-8	Император-амёба
44	0	utf-8	Гнилёба
45	0	utf-8	Липкая циста
46	0	utf-8	Заморская циста
47	0	utf-8	Блестящая циста
48	0	utf-8	Циста-мандо
49	0	utf-8	Император-циста
50	0	utf-8	Гнилая циста
51	0	utf-8	Гнилой цветок
52	0	utf-8	Голодный цветок
53	0	utf-8	Гнилогиацин
54	0	utf-8	Дед-вонючка
55	0	utf-8	Имперский аромат
56	0	utf-8	Раффлезия
57	0	utf-8	Чистый слизьмох
58	0	utf-8	Омном
59	0	utf-8	Омномном
60	0	utf-8	Киллер-омном
61	0	utf-8	Соперница-омном
62	0	utf-8	Крутомном
63	0	utf-8	Геркуломном
64	0	utf-8	Златомном
