# MYU0 StgTitleNameList_EN.tbin RUS utf-8
# rows=97 cols=1 field3=0x1F
# row	col	enc	text
0	0	utf-8	1-1: Большое злое начало…
1	0	utf-8	1-2: Копай, как никогда!
2	0	utf-8	1-3: Читаю тебя как книгу!
3	0	utf-8	1-4: Мужицкий металлический угар
4	0	utf-8	1-5: Тише, там внизу!
5	0	utf-8	1-6: Ключ от башни
6	0	utf-8	1-3<col:255,204,0,204>(EX)</col>: Лента Мёбиуса!
7	0	utf-8	1-4<col:255,204,0,204>(EX)</col>: Уложу пальцем!
8	0	utf-8	1-5<col:255,204,0,204>(EX)</col>: Что за серия из трёх?!
9	0	utf-8	
10	0	utf-8	
11	0	utf-8	2-1: Секунданты, раунд два!
12	0	utf-8	2-2: Два утёнка
13	0	utf-8	2-3: Порхай как пух, жги как дракон
14	0	utf-8	2-4: Сделай сам, лодырь!
15	0	utf-8	2-5: Супер-пупер землекоп!
16	0	utf-8	2-6: Воды! Воодыыы!!!
17	0	utf-8	2-7: Только не это, Бэдмен!
18	0	utf-8	2-2<col:255,204,0,204>(EX)</col>: Бей, Бэдмен, бей!
19	0	utf-8	2-5<col:255,204,0,204>(EX)</col>: Сейчас или никогда!
20	0	utf-8	2-6<col:255,204,0,204>(EX)</col>: Какая рука левая?!
21	0	utf-8	2-3<col:255,204,0,204>(EX)</col>: Добро пожаловать в Вукимондию!
22	0	utf-8	3-1: Сдохни красиво!
23	0	utf-8	3-2: Моё копательное лето
24	0	utf-8	3-3: Не плюйся пустышкой!
25	0	utf-8	3-4: Час Повелителя
26	0	utf-8	3-5: Данжи — это же кайф!
27	0	utf-8	3-6: Темп, темп!
28	0	utf-8	3-7: Смерть, но помертвее
29	0	utf-8	3-8: Все вместе!
30	0	utf-8	Финальный сбор: за злое завтра
31	0	utf-8	3-3<col:255,204,0,204>(EX)</col>: Весёлый взрыв коридора
32	0	utf-8	3-5<col:255,204,0,204>(EX)</col>: Не обделайся!
33	0	utf-8	3-8<col:255,204,0,204>(EX)</col>: Час пик
34	0	utf-8	3-2<col:255,204,0,204>(EX)</col>: Шок и руда
35	0	utf-8	Трен. 01: Э-э… что такое данж?
36	0	utf-8	Трен. 02: Оно вылезло из почвы
37	0	utf-8	Трен. 03: Что за-?! Вода?
38	0	utf-8	Трен. 04: Пищевая карусель
39	0	utf-8	Трен. 05: Герои пррришли!
40	0	utf-8	Трен. 06: Новая кирка!
41	0	utf-8	Трен. 07: Пища для ума
42	0	utf-8	Трен. 08: Прокачай IQ
43	0	utf-8	Трен. 09: Ящерица-2010
44	0	utf-8	Трен. 10: Следи за маной
45	0	utf-8	Трен. 11: Руны для роста
46	0	utf-8	Трен. 12: Охотник на охотников
47	0	utf-8	Трен. 13: Стресс-менеджмент
48	0	utf-8	Трен. 14: О нет! Герой!
49	0	utf-8	Трен. 15: Запас
50	0	utf-8	Прод. 13: Папочка-мах
51	0	utf-8	Прод. 11: Рунология 101
52	0	utf-8	Прод. 12: Милашка в отряд
53	0	utf-8	Прод. 14: Пойдёшь на мордобой
54	0	utf-8	Прод. 15: Сладкие шестнадцать
55	0	utf-8	Прод. 05: Геркуломный подвиг
56	0	utf-8	Прод. 03: Копи пищу, пока дают
57	0	utf-8	Прод. 06: Несись или проваливай!
58	0	utf-8	Прод. 02: Вода — чудесная жизнь!
59	0	utf-8	Прод. 01: Растормоши колосса
60	0	utf-8	Прод. 04: Всегда доставляем!
61	0	utf-8	Прод. 17: Скелетарьно, Бэдмен!
62	0	utf-8	Прод. 07: Короткую историю — в длинную
63	0	utf-8	Прод. 08: Да здравствует революция!
64	0	utf-8	Прод. 16: По боевым постам!
65	0	utf-8	Прод. 10: Мара, Мара, на стене
66	0	utf-8	Прод. 09: Слёзы до ванны
67	0	utf-8	Прод. 18: Думай головой
68	0	utf-8	Прод. 19: Данж на дождливый день
69	0	utf-8	Прод. 20　１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０
70	0	utf-8	
71	0	utf-8	
72	0	utf-8	
73	0	utf-8	
74	0	utf-8	
75	0	utf-8	
76	0	utf-8	
77	0	utf-8	Покои Бэдмена
78	0	utf-8	
79	0	utf-8	
80	0	utf-8	
81	0	utf-8	Б&Б 1-1: Смотри с папой
82	0	utf-8	Б&Б 1-2: Выбери битвы
83	0	utf-8	Б&Б 1-3: Водяная тягомотина
84	0	utf-8	Б&Б 2-1: Незваные гости
85	0	utf-8	Б&Б 2-2: Двойные неприятности
86	0	utf-8	Б&Б 2-3: Данж своими руками
87	0	utf-8	Б&Б 2-4: Ещё один тычок
88	0	utf-8	Б&Б 2-5: Копательный марафон
89	0	utf-8	Б&Б 3-1: Стрелок по женихам
90	0	utf-8	Б&Б 3-2: Жених в печали
91	0	utf-8	Б&Б 3-3: Пучки и крепыши
92	0	utf-8	Б&Б 3-4: Медовый мор
93	0	utf-8	Б&Б 3-5: Свёкор-убийца
94	0	utf-8	Б&Б 3-6: Кекс-проблемы
95	0	utf-8	Б&Б 3-7: Адский свадебный звон
96	0	utf-8	Б&Б 3-8: Невеста падает первой
