# MYU0 SystemMessage_EN.tbin RUS utf-8
# rows=222 cols=1 field3=0x1F
# row	col	enc	text
0	0	utf-8	Сохранить не вышло.
1	0	utf-8	Сохранено.
2	0	utf-8	Все остальные
3	0	utf-8	Итог
4	0	utf-8	 Этап　　Итог
5	0	utf-8	Итог тренировки
6	0	utf-8	Миссия　　Итог
7	0	utf-8	 Итог
8	0	utf-8	Очки
9	0	utf-8	Сумма этапа
10	0	utf-8	Ранг
11	0	utf-8	Нет
12	0	utf-8	Рекорд
13	0	utf-8	x
14	0	utf-8	:
15	0	utf-8	+
16	0	utf-8	-
17	0	utf-8	Выбор этапа
18	0	utf-8	←→: страница  ↑↓ выбор  ×: OK  ○: назад
19	0	utf-8	＝簿
20	0	utf-8	＝真
21	0	utf-8	Жми ○
22	0	utf-8	Жми ×
23	0	utf-8	Загрузка...
24	0	utf-8	↑↓←→: ход  L/R: ход  START: меню  ×: OK  ○: назад
25	0	utf-8	Ранг -
26	0	utf-8	Бонус копки
27	0	utf-8	Осталось
28	0	utf-8	Бонус орды
29	0	utf-8	Бонус времени
30	0	utf-8	Сила копки
31	0	utf-8	Сила копки дальше
32	0	utf-8	Собрано сфер
33	0	utf-8	Бонус EX
34	0	utf-8	Побито
35	0	utf-8	Выкопано
36	0	utf-8	Призвано
37	0	utf-8	Слуги
38	0	utf-8	Сдохло
39	0	utf-8	Время
40	0	utf-8	Финальная мощь
41	0	utf-8	Сила копки
42	0	utf-8	Очки
43	0	utf-8	Ранг
44	0	utf-8	Досталось
45	0	utf-8	Потеряно
46	0	utf-8	Физ. атака
47	0	utf-8	Физ. защита
48	0	utf-8	Маг. атака
49	0	utf-8	Маг. защита
50	0	utf-8	Особое
51	0	utf-8	        
52	0	utf-8	Физ.
53	0	utf-8	Маг.
54	0	utf-8	 атк.
55	0	utf-8	 защ.
56	0	utf-8	Готовим связь...
57	0	utf-8	Ждём игроков.\nМинутку...
58	0	utf-8	Ищем игроков...
59	0	utf-8	Настраиваем связь...
60	0	utf-8	○: назад
61	0	utf-8	START: ок  ○: отмена
62	0	utf-8	↑↓ выбор  ×: OK  ○: назад
63	0	utf-8	Выключатель WLAN/WIRELESS выключен.\n Включи, если хочешь в сеть. 
64	0	utf-8	Ошибка связи.
65	0	utf-8	Связь оборвалась.
66	0	utf-8	WLAN/WIRELESS выключили.\n К другим не подключиться.
67	0	utf-8	Ошибка связи.\nК другим не подключиться.
68	0	utf-8	Тебя послали.
69	0	utf-8	Тебя выкинули.
70	0	utf-8	○: назад
71	0	utf-8	Синхронизация...
72	0	utf-8	Ждать напарников.
73	0	utf-8	Искать напарников.
74	0	utf-8	Рекорды
75	0	utf-8	↑↓ выбор  ×: OK  ○: назад
76	0	utf-8	Рекорды Бэдмен и Бэдмелла
77	0	utf-8	Бэдмен и Бэдмелла (3 эт.)
78	0	utf-8	Бэдмен и Бэдмелла (5 эт.)
79	0	utf-8	Бэдмен и Бэдмелла (8 эт.)
80	0	utf-8	Попыток
81	0	utf-8	
82	0	utf-8	Прошлый игрок Б&Б
83	0	utf-8	Лучшая дружба
84	0	utf-8	Самый свой игрок
85	0	utf-8	Пройдено сетов из 3
