Regular Hero	Обычный герой
"Save the world? Who? Me?"	"Спасти мир? Кто? Я?"
Who'll save the world now...?	Кто теперь мир спасёт...?
Erm... Come with me.	Э-э... Пошли со мной.
...Why me!?	...Почему я!?
Coming! Ready or not!	Иду! Готовься или нет!
What a recovery!	Вот это отхил!
HP gratefully received!	ХП с благодарностью!
I'm feeling a bit windy...	Что-то ветрено стало...
Thought I'd brighten up the place.	Решил местечко подсветить.
Poison, no less!	Яд, ни больше ни меньше!
My limbs are tingly.	Руки-ноги покалывает.
Time to turn in.	Пора на боковую.
Which path to choose?	Какой путь выбрать?
Say goodnight!	Скажи спокойной ночи!
Save your game then save the world.	Сохрани игру — потом мир.
It's a bit chilly!	Прохладненько!
I'm wide awake!	Я бодр как никогда!
A nice magic barrier!	Классный магический барьер!
Ninja Therapist	Ниндзя-терапевт
"Share it with the group."	"Поделись с группой."
I died like a dog...	Подох как пёс...
The Overlord - in the flesh!	Повелитель — во плоти!
I told you to watch out!	Я ж говорил: берегись!
Is this a trick!?	Это трюк!?
Behold my ninja fury!	Узрите ниндзя-ярость!
Let's steal some HP.	Украдём-ка ХП.
Multi-directional ninja stars!	Сюрикены во все стороны!
Can't skulk in the dark forever...	Не прятаться же в темноте вечно...
P-Poison!	Я-яд!
Even my shurikens have gone numb.	Даже сюрикенам онемело.
Ninja nap-time...	Ниндзя-дрёма...
Now where was I?	Так, где я был?
Time for a stealthy save.	Пора скрытно сохраниться.
Easily-Led Hero	Ведомый герой
"I really have to do this?"	"Мне правда это надо?"
Erika!	Эрика!
Get ready!	Готовься!
We'll do it this time!	В этот раз получится!
Ahhh... That's nice.	Аххх... Класс.
This sword's fully charged!	Меч полностью заряжен!
My head's spinning.	Голова кругом.
Things are looking brighter already.	Уже светлее стало.
Poison!	Яд!
Numb and number!	Всё немее и немее!
Zzzz...	Зззз...
Well, he's not here...	Ну, его тут нет...
Sleep tight!	Спи крепко!
Let's save here!	Давай тут сохранимся!
Is anyone else cold?	Ещё кому-то холодно?
I've never felt so alive!	Никогда так не жил!
Ah, nothing like a good barrier...	Ах, нет ничего лучше барьера...
Miss Mystery	Мисс Загадка
"Our destiny awaits us!"	"Нас ждёт судьба!"
Fate is a cruel mistress.	Судьба — жестокая дама.
Fate has led us to you.	Судьба привела нас к тебе.
It's too much to take!	Этого не вынести!
Here we go again.	Опять по новой.
I feel reborn!	Я как заново родилась!
Good mana is hard to find!	Хорошую ману ещё поискать!
A cruel twister fate.	Жестокий вихрь судьбы.
I can see clearly now!	Теперь всё ясно!
Is that poison?	Это яд?
Numbness creeps over me...	Онемение ползёт по мне...
I'm overcome with drowsiness.	Меня одолела дремота.
Where could he be skulking...?	Где он там прячется...?
Let sleep overcome you!	Да поглотит вас сон!
We are saved!	Мы спасены!
That's a chill wind.	Холодный ветер.
Begone!	Изыди!
Over-Confident Oaf	Самоуверенный дуб
"I'm in it for Maxwell."	"Я тут ради Максвелла."
Me!? Die!? Say it ain't so...	Я!? Сдохнуть!? Скажи, что нет...
Gotcha!	Попался!
I'll leave the dying to others.	Умирать предоставлю другим.
C'mon! Let's do this thing!	Давай! Погнали!
Let's have us a monster mash-up!	Устроим монстромесиво!
I did it. But of course.	Сделал. Ну ещё бы.
I'll show you what I've got!	Сейчас покажу, на что способен!
Poison? Ha! I'll laugh it off.	Яд? Ха! Отсмеюсь.
Why can't I move?	Почему не двигаюсь?
That was careless...	Неосторожно вышло...
He can't hide forever.	Вечно не спрячется.
C'mon! Eat your fill!	Давай! Жри досыта!
I like things to go with a bang!	Люблю, когда с бабах!
I'm well worth saving!	Меня точно стоит сохранять!
Time for a style shake-up.	Пора освежить стиль.
I'm entering a best chest contest.	Иду на конкурс лучших сундуков.
Electro-Hero	Электрогерой
"This is shocking..."	"Это шокирует..."
I didn't see that coming...	Этого я не видел...
You're coming with me!	Пойдёшь со мной!
I just knew this would happen!	Так и знал, что так будет!
Hmph. Back to square one.	Хмф. Опять с нуля.
Is this dungeon ready for me?	Данж готов ко мне?
HP absorption's a marvelous thing.	Сосать ХП — это чудо.
A revolution in slashing technology!	Революция рубящих технологий!
Light up my life!	Озари мою жизнь!
Poison!? What poison!?	Яд!? Какой яд!?
This numbness is rather alarming.	Это онемение довольно тревожно.
Allow me to doze off...	Позвольте мне вздремнуть...
Wherefore art thou, my Lord?	Где же ты, мой лорд?
Save me for posterity!	Сохрани меня для потомков!
Big Man on Campus	Местный крутыш
"Call that a dungeon!?"	"И это данж!?"
Call that a life...!?	И это жизнь...!?
Call that an Overlord!?	И это Повелитель!?
Call that an ally!?	И это союзник!?
I've seen it all before...	Всё это уже видел...
Draining mana? Ho-hum...	Сосать ману? Скучно...
Here I come - if I can be bothered...	Иду — если не лень...
Well, what do you know? It's brighter.	Ну надо же. Светлее стало.
Poison!? Pah!	Яд!? Пф!
Numbness? What a drag...	Онемение? Нудно...
Sleepy? Me? (yawn)	Сонный? Я? (зевок)
Where's he holed up?	Где он засел?
Suppose I should save.	Наверное, сохранить.
Younger Disciple	Младший ученик
"This is exciting, isn't it?"	"Круто же, да?"
I've ruined my new jerkin!	Новый камзол угробил!
Overlord overload!	Перегруз Повелителя!
Darn it!	Чёрт!
We get another go!	Ещё одна попытка!
I just love leveling up!	Обожаю качаться!
I did it, right?	Я смог, да?
Miracle kick!	Чудо-пинок!
I'm all in a spin!	Меня крутит!
Poison!?	Яд!?
Paralysis.	Паралич.
Bedtime so soon?	Уже спать?
Let's have a mosey round.	Пошатаемся тут.
Save?	Сохранить?
I'm super psyched!	Я супер в ударе!
Elder Disciple	Старший ученик
"Can't you play it cool?"	"Нельзя поспокойнее?"
So this is how it ends...	Вот так и кончается...
You've been spotted!	Тебя засекли!
Such a shame.	Какая жалость.
Let's take another stab at this.	Давай ещё разок.
Must be time to head back.	Пора, видно, назад.
Blood punch!	Кровавый удар!
Let's twirl!	Крутись!
P-P-Poison!	Я-я-яд!
P-P-Paralysis!	П-п-паралич!
Time for 40 winks...	Пора на сорок вздремков...
He's got to be here...	Он должен быть тут...
Save!	Сохранить!
I'm ultra psyched!	Я ультра в ударе!
Buck's Biggest Fan	Главная фанатка Бака
"He loves me - I know it!"	"Он меня любит — я знаю!"
This is the end, my friend!	Это конец, друг мой!
You were here all along!	Ты всё время был тут!
It wasn't meant to be..	Не судьба..
This time!	В этот раз!
That's more like it!	Вот это другое дело!
HP helps the hurt.	ХП лечит боль.
This wind's ruining my hair!	Ветер портит причёску!
Light on!	Свет включить!
Anything but poison!	Что угодно, только не яд!
Anything but paralysis!	Что угодно, только не паралич!
YAWN!	ЗЕВОК!
Where is he!?	Где он!?
Good night!	Спокойной ночи!
Never a bad time to save.	Сохраняться всегда в тему.
I'm chilled out.	Я весь продрог.
I feel on top of the world!	Я на вершине мира!
I love a good barrier.	Люблю хороший барьер.
Meat-Headed Hero	Мясоголовый герой
"I'm my biggest fan!"	"Я сам себе фанат!"
Surely some mistake.	Точно ошибка какая-то.
...Are you my father!?	...Ты мой отец!?
Plenty more fish in the sea.	В море ещё полно рыбы.
Let's get on with this!	Погнали уже!
Let's suck that mana dry!	Высосем всю ману!
Ta-da!	Та-да!
Always look on the bright side.	Смотри на светлую сторону.
Poison? Pah!	Яд? Пф!
I'm losing feeling in my extremities.	Конечностей не чувствую.
Hmmm... Where to?	Хммм... Куда?
Nice time to save.	Самое время сохраниться.
Brash Brat	Наглый сопляк
"If I can't do it, nor can you!"	"Если я не смог — и ты не сможешь!"
But I can't die...	Но я не могу сдохнуть...
Let's hit the road!	В путь!
Ah well.	Ну и ладно.
This time, it's on!	В этот раз — по-серьёзному!
Yeah! Feels good!	Да! Кайф!
I've got a thirst for mana.	Жажда маны.
Wind it up!	Закрути!
Darkness sucks.	Темнота отстой.
I think I'm gonna puke.	Кажется, меня стошнит.
My limbs ain't obeyin' me.	Конечности меня не слушаются.
I'm hittin' the hay.	Я на сеновал.
I'd better not be lost...	Только б не заблудиться...
Tear gas!	Слезоточивка!
Save me, baby!	Спаси меня, детка!
Man, frost bites!	Блин, мороз кусается!
A present for you!	Подарок тебе!
Death - the final insult!	Смерть — последнее оскорбление!
You're mine. All mine!	Ты мой. Весь мой!
Wh-What!?	Ч-что!?
Let's do it again!	Давай ещё раз!
Any whiff of Badman?	Пахнет Бэдменом?
Our work here's done!	Тут мы закончили!
A candle!	Свеча!
Paralysis!	Паралич!
Night night, world!	Спокойной, мир!
Which way to go?	Куда идти?
A fine summoning display!	Классный призыв!
Time to save!	Пора сохраняться!
Where are my thermals?	Где моё термобельё?
I die, my liege!	Умираю, мой лорд!
Avast, scoundrel!	Стоять, негодяй!
Don't leave me!	Не бросай меня!
Once more, I descend.	Снова спускаюсь.
What an achievement!	Вот это достижение!
I adore draining mana!	Обожаю сосать ману!
Explode, my lovely!	Взорвись, прелесть!
How enlightening.	Как просветляет.
Foul poison!	Мерзкий яд!
My poor limbs grow numb.	Бедные конечности немеют.
Where's he lurking?	Где он прячется?
Save me!	Спаси меня!
Moving Target	Живая мишень
"Want to see my frog trick?"	"Хочешь лягушачий фокус?"
I'm wormfood...	Я червячный корм...
What do we have here?	Что тут у нас?
Rather them than me...	Лучше они, чем я...
Down I go.	Спускаюсь.
Time to head home.	Пора домой.
A breath of fresh air!	Глоток свежего воздуха!
HP theft!	Кража ХП!
A twist in the tale!	Поворот сюжета!
That's lightened the mood.	Настроение светлее.
Poison.	Яд.
My fingers are going numb...	Пальцы немеют...
Naptime!	Дрёма!
Lights out!	Свет гаснет!
A fine spot to save.	Классное место сохраниться.
Blizzard Wizzard!	Метель-маг!
I'm psyched!	Я в ударе!
Shield me!	Защити меня!
Dissolves in Water	Растворяется в воде
"This dungeon looks messy."	"Данж какой-то грязный."
Farewell, sweet life.	Прощай, сладкая жизнь.
You're mine!	Ты мой!
The beautiful die young!	Красивые мрут молодыми!
One more time!	Ещё разок!
Retreat!	Отход!
BRRRENNDAAAA!!!	БРРРЕНДААА!!!
HP, please!	ХП, пожалуйста!
Wheeee!	Уииии!
Nice 'n' bright!	Светленько!
P-P-P-P...	Я-я-я-я...
Snore...	Хррр...
This is a sign.	Это знак.
Chisel-Jawed Chump	Квадратночелюстный лох
"Battle maketh the man!"	"Битва делает мужика!"
I'm too handsome to die!	Я слишком красив, чтоб сдохнуть!
Hello, frogface.	Привет, лягушкомордый.
Too bad.	Жаль.
Let's do this again.	Давай ещё раз.
Tactical retreat.	Тактический отход.
Ahh, refreshment!	Ах, освежился!
Real mana for a real man!	Настоящая мана для настоящего мужика!
Whirl me round!	Закрути меня!
Light me up!	Подсвети меня!
Anyone got an antidote?	Есть антидот?
I'm numb!	Я онемел!
I'm sleepy!	Я сонный!
Hmmm... 	Хммм... 
Beddy-Byes!	Баиньки!
Freezing frigid frost!	Ледяной лютый мороз!
Piff-Paff!	Пиф-паф!
Conscientious Objector	Сознательный отказник
"Maybe I should do something."	"Может, мне что-то сделать."
Who'll stop him now!?	Кто его теперь остановит!?
Target sighted.	Цель на виду.
Farewell.	Прощай.
Lead me to my goal!	Веди меня к цели!
Good gracious!	О господи!
Poison? This isn't ideal...	Яд? Не идеально...
How'd you spell 'parallyssss...'!?	Как пишется 'паралиииич...'!?
My eyelids are heavy...	Веки тяжёлые...
Look left. Look right.	Смотри влево. Смотри вправо.
Dinner is served!	Ужин подан!
Barrels of fun!	Бочки веселья!
S'pose it's time to save.	Пора, видать, сохраниться.
Master of disguise!	Мастер маскировки!
The trap is set.	Ловушка готова.
Soul For Sale	Душа продаётся
"Any offers? I'm going cheap."	"Есть заявки? Я дёшево."
I'm done for.	Мне крышка.
You look different in real life.	Вживую ты другой.
What!?	Что!?
Back I go!	Назад!
GRRROYYYNNN!!!	ГРРРОЙННН!!!
O, sword of blood!	О, меч крови!
Eurgh, now I've got motion sickness...	Бле, укачало...
My eyes! My eyes!	Глаза! Глаза!
A toxic treat.	Ядовитый десерт.
I can't move!	Не могу двигаться!
G'night, folks.	Спокойной, народ.
Where to?	Куда?
Insecto-Linguist	Насекомолингвист
"Let's talk omnom!"	"Говорим на омном!"
They don't understand me!	Они меня не понимают!
Hey! D'you speak omnom?	Эй! Говоришь по-омномски?
Omnombye!	Омномпока!
Here we omnomgo again.	Омномпоехали снова.
Omnomdrain!	Омномсос!
Omnomcano!	Омномкан!
Omnomtorchnom!	Омномфакелном!
Omnomtoxnom!	Омномтоксном!
Omnomparanom!	Омномпаранном!
I'm omnomsleepy.	Я омномсонный.
I need to ask directions.	Надо спросить дорогу.
Omnomsave!	Омномсохр!
Omnomblizzard!	Омномметель!
Impatient Lady	Нетерпеливая леди
"I love a good demon!"	"Обожаю хорошего демона!"
I'm not ready to die!	Я не готова сдохнуть!
So this is the famous Badman?	Так это знаменитый Бэдмен?
Should've kept your mouth shut.	Надо было рот держать.
Easy to get lost in here...	Тут легко заблудиться...
I'm back at my best!	Я снова в форме!
Gimme gimme gimme!	Дай-дай-дай!
Twist and scream!	Крутись и ори!
How shiny!	Как блестит!
I'm foaming at the mouth.	У меня пена изо рта.
I'm glued to the spot.	Приклеилась к месту.
Night night.	Баиньки.
This place is like a maze!	Тут как лабиринт!
Sweet dreams!	Сладких снов!
Ba-Ba-Blizzard!	Ме-ме-метель!
Teleport time!	Время телепорта!
Party Animal	Тусовщица
"Make way for Wimpie!"	"Дорогу Вимпи!"
Death - the ultimate pinata.	Смерть — главная пиньята.
And here he is!	А вот и он!
NOOOO!!!	НЕЕЕТ!!!
Back to square one.	Опять с нуля.
I wanna level up!	Хочу качнуться!
I'm partied out.	Тусовка кончилась.
This is so draining.	Так выматывает.
Erupt!	Извергнись!
How's that?	Ну как?
Poisoned pinatas!	Ядовитые пиньяты!
Paralyzed pinatas!	Парализованные пиньяты!
Disco nap.	Диско-дрёма.
Where's the party at?	Где тусовка?
Save some for me!	Оставь и мне!
Over-Generous Alchemist	Щедрый алхимик
"Low interest loans!"	"Кредиты под маленький процент!"
I die penniless...	Подыхаю без гроша...
B-B-Badman!	Б-Б-Бэдмен!
Darn!	Чёрт!
Let's explore!	Давай исследовать!
Light relief!	Светлое облегчение!
Poison be darned!	К чёрту яд!
Paralysis be darned!	К чёрту паралич!
Just a quick nap...	Быстренько вздремнуть...
What am I doing here again?	Что я тут снова делаю?
Join me!	Ко мне!
High-interest savings!	Вклад под высокий процент!
Ice to meet you!	Лёд рад знакомству!
Everyone's #1 Hero	Всеобщий герой №1
"Watch me save the world!	"Смотри, как я мир спасу!
Erikaaaarrrgh!!!	Эрикааааррргх!!!
Come with me!	Пошли со мной!
Erika!!! NO!!!	Эрика!!! НЕТ!!!
I've got all day.	У меня весь день.
Recharged!	Перезаряжен!
Miracle power!	Чудо-сила!
Sandstorm!	Песчаная буря!
Darkness begone!	Тьма, прочь!
Pesky poison.	Назойливый яд.
Pesky paralysis.	Назойливый паралич.
Quick nap...	Быстрая дрёма...
Curse this dismal dungeon...	К чёрту этот унылый данж...
Dream on!	Мечтай дальше!
Save my memories!	Сохрани мои воспоминания!
Lend me your scarf!	Дай шарф!
I'll protect you all!	Я всех защищу!
A world just for us!	Мир только для нас!
Healthy Prophet	Здравый пророк
"You are our savior!"	"Ты наш спаситель!"
To die...in a place...like this...	Умереть...в месте...вроде этого...
I'm hauling you in.	Тащу тебя.
Erm. This isn't good.	Э-э. Это плохо.
Rewind...	Отмотка...
More! More! More!	Ещё! Ещё! Ещё!
By the power of Lunos!	Силой Луноса!
It's all a whirl.	Всё кругом.
Luminosity!	Светимость!
Venomous toxins!	Ядовитые токсины!
P-P-Pull yourself together, Erika.	С-с-соберись, Эрика.
Sleepy time.	Сонный час.
Where can he be?	Где он может быть?
Nighty night.	Баиньки.
Souvenir snapshot!	Сувенирный снимок!
I'm fr-fr-freezing.	Я з-з-замерзаю.
Good luck!	Удачи!
Dangerous Daydreamer	Опасный мечтатель
"You gotta have a dream."	"Надо иметь мечту."
Cloot's kaput.	Клуту капут.
Yer coming with Cloot!	Пойдёшь с Клутом!
Life's so cruel.	Жизнь жестока.
Retreat...	Отход...
Cloot's all fired up!	Клут весь в огне!
Let's go for a spin!	Покружимся!
C-C-Cloot's poisoned.	К-к-клут отравлен.
C-C-Cloot's shaky.	К-к-клут трясётся.
Cloot's sleepy.	Клут сонный.
Where's Cloot's target?	Где цель Клута?
Better save than sorry!	Лучше сохранить, чем жалеть!
Can't touch Cloot!	Клута не тронешь!
Cuboid Rebel	Кубический бунтарь
"Wanna piece o' Quoin!?"	"Хочешь кусок Коина!?"
I thought I was indestructible...	Думал, я неубиваемый...
Them's the breaks.	Такие дела.
Get back on the horse!	Снова в седло!
Quoin's on top of his game!	Коин на высоте!
C'mon! Who wants it!?	Давай! Кто хочет!?
Poison? Pah...	Яд? Пф...
Paralysis? Pah...	Паралич? Пф...
Bedtime!	Спать!
Come out, come out, wherever you are!	Выходи, выходи, где бы ты ни был!
Area secured!	Зона чиста!
Come and get me!	Ну, попробуй!
Mature Martial Artist	Пожилой мастер
"Geriatric power!"	"Гериатрическая мощь!"
It's too late for me.	Для меня уже поздно.
Respect your elders!	Уважай старших!
Wasn't meant to be, kid.	Не судьба, малой.
Let's get back in there!	Назад в бой!
Let's turn the tables!	Давай перевернём стол!
Bad guy beware!	Злодей, берегись!
They're trying to poison me.	Меня травят.
They're trying to paralyze me.	Меня парализуют.
I need my rest.	Мне надо отдохнуть.
Save it like you mean it.	Сохраняй всерьёз.
I'll take you all on!	Я вас всех!
Dainty Ditzy Damsel	Милая дурочка
"The dungeon's the place to be!"	"Данж — самое место!"
I didn't expect THIS!	Я ТАКОГО не ждала!
Hey, handsome.	Эй, красавчик.
Oh! The humanity!	О! Какое зверство!
Let's start again.	Начнём сначала.
I want to meet a dragon!	Хочу встретить дракона!
Right on target!	Прямо в цель!
You spin me round!	Ты меня кружишь!
I feel all poisony.	Я вся ядовитая.
I feel all tingly.	Я вся покалываю.
I feel all sleepy.	Я вся сонная.
Isn't this exciting!?	Разве не круто!?
Come and get it!	Ну, бери!
Let's blow this dungeon sky high!	Взорвём этот данж до небес!
Time for a new look.	Пора сменить имидж.
Vacuum chest!	Вакуумный сундук!
Big Hitter	Крутой биток
"Three strikes and you're dead!"	"Три удара — и ты труп!"
I'm out for the count.	Меня нокаутировали.
Enchanted, I'm sure.	Очарована, конечно.
Simply awful!	Просто ужас!
Round we go again.	Круг по новой.
Nice work, folks!	Классная работа, народ!
360 attack!	Атака на 360!
Vicious venom.	Злющий яд.
Sweet dreams...	Сладких снов...
This way, that way, which way!?	Туда, сюда, куда!?
All you can eat!	Ешь сколько влезет!
Burn, baby, burn!	Гори, детка, гори!
New record!	Новый рекорд!
Wardrobe overhaul!	Полный гардероб-ремонт!
Take out the trash!	Вынеси мусор!
Monster Mincer	Мясорубка монстров
"Who wants monster burgers?"	"Кто хочет монстробургеры?"
Press RESET! Quick!	Жми RESET! Быстро!
Caught like a rat in a trap!	Попался как крыса в капкан!
Say it ain't so!	Скажи, что нет!
I'll start over.	Начну сначала.
Time to go.	Пора валить.
Cutty-cutty!	Режь-режь!
Piffling poison...	Пустяковый яд...
Piffling paralysis...	Пустяковый паралич...
I'll have a quick nap.	Быстренько вздремну.
Heads or tails...	Орёл или решка...
Snack attack!	Закусочная атака!
Ka-boom!	Ка-бум!
Save us all!	Спаси нас всех!
Time for a change!	Пора меняться!
A true treasure trove.	Настоящая сокровищница.
Nervous Twitcher	Нервный дёрганец
"Has this dungeon got toilets?"	"В этом данже есть туалеты?"
So that's that...	Вот и всё...
At least you haven't changed...	Хоть ты не изменился...
Gone so soon?	Уже ушёл?
I'll get there in the end.	Я туда доберусь.
Let's get this over with!	Давай уже закончим!
Much obliged!	Очень признателен!
The knives are out.	Ножи наружу.
That's better.	Так лучше.
Poison!? Of all the rotten luck.	Яд!? Ну и везение.
Paralysis!? Of all the rotten luck.	Паралич!? Ну и везение.
I'm drowsy.	Меня клонит.
And where now?	И куда теперь?
Save yourself!	Спасайся!
Inept Impressionist	Бездарный пародист
"Wait! Have you heard this one?"	"Стой! Слышал вот эту?"
The last laugh's on me...	Последний смех — надо мной...
His Royal Badness...	Его Королевское Бэдство...
Wait! I had a great joke!	Стой! У меня был классный анекдот!
Back to basics.	Назад к основам.
A shot in the arm!	Укол в руку!
Mind your manas!	Следи за маной!
Gone with the wind!	Унесённый ветром!
Light entertainer!	Светлый массовик!
Poison!? Where's the fun in that!?	Яд!? Где тут веселье!?
Paralysis!? Where's the fun in that!?	Паралич!? Где тут веселье!?
Wake me when we get there...	Разбуди, как придём...
I'm looking for an audience.	Ищу публику.
Safety first!	Сначала безопасность!
Frosty reception!	Ледяной приём!
Teleportation!	Телепортация!
Skinny Show-Off	Тощий выпендрёжник
"I'm comin' to get you!"	"Я за тобой иду!"
What a way to go.	Вот так уходить.
Ready to go?	Готов валить?
Why, oh why!?	Почему, о почему!?
The entrance awaits.	Вход ждёт.
I'll have a nose 'round.	Пошарюсь тут.
It's about that time.	Самое время.
Is this high-cal poison?	Это яд высокого калибра?
Darn this paralysis!	К чёрту этот паралич!
Getting sleepy...	Клонит в сон...
I'll flush you out!	Выкурю тебя!
Get some shuteye!	Сосни-ка!
Save me, I tell you!	Спаси меня, говорю!
Wet 'n' wild!	Мокро и дико!
It'll blow you away!	Сдует тебя!
Prepare for a cold front.	Готовься к холодному фронту.
I'll block it out!	Заблокирую!
I blew it!	Продул!
You blew it!	Ты продул!
Ready or not, here I come.	Готовься или нет — я иду.
Big bang!	Большой бабах!
Fire it up!	Зажигай!
I'm defused!	Меня разрядили!
Gettin' sleepy...	Клонит в сон...
Slowly, slowly, catchy Badman...	Тихо-тихо, ловим Бэдмена...
Save me from myself!	Спаси меня от себя!
Buried treasure!	Зарытое сокровище!
I didn't make the cut.	Меня срезали.
Well, whaddaya know.	Ну надо же.
You'd better run!	Тебе бы бежать!
Spin cycle.	Цикл отжима.
Lighten up!	Посветлей!
Poxy poison!	Паршивый яд!
Paltry paralysis!	Жалкий паралич!
I'm running on empty.	Я на пустом баке.
Lookin' out for an anti-hero...	Ищу антигероя...
Box of surprises!	Коробка сюрпризов!
I'm a busted flush.	Я битый флеш.
Well, well, well...	Ну-ну-ну...
What's all this!?	Это ещё что!?
Must stay alert!	Надо быть начеку!
I'm on a roll!	Я в ударе!
Ah-choo!	Апчхи!
I can see!	Я вижу!
Not poison!	Только не яд!
I'm in a pickle.	Я в рассоле.
Nighty-bye...	Баиньки...
Where next?	Куда дальше?
Save it!	Сохрани!
Sacred chest.	Священный сундук.
The life's runnin' out o' me.	Жизнь из меня течёт.
Locked on target.	Цель захвачена.
What a dirty shame.	Какой грязный стыд.
Where are you?	Где ты?
I'll wipe you all out!	Я вас всех вынесу!
My beard's singed!	Бороду опалило!
Poison, of all things!	Яд, надо же!
Pa-Pa-Paralysis!	Па-па-паралич!
I'm conking out.	Я отключаюсь.
Well, let me see...	Ну, дай глянуть...
Chest in position.	Сундук на месте.
What about my dreams!?	А как же мои мечты!?
I hit paydirt!	Я напал на жилу!
Oh dear me...	Ох, господи...
This time it's on!	В этот раз — по-серьёзному!
Twirly-whirly sword!	Крути-верти меч!
Very atmospheric.	Очень атмосферно.
Was it something I ate?	Это я что-то съел?
I'm seizing up.	Меня сводит.
One sheep, two sheep, three sheep...	Раз овечка, два овечка, три...
To the left, to the right...	Налево, направо...
Plant that flag!	Воткни флаг!
This'll trick'em!	Это их проведёт!
This isn't happening.	Этого не происходит.
Mr. Overlord, I presume.	Мистер Повелитель, полагаю.
Back once again.	Снова назад.
I'm having a ball!	Я балдею!
Hello Mister Twister!	Привет, мистер Вихрь!
Nice lighting.	Классный свет.
I'm sweating like a pig.	Пот как у свиньи.
Must...move ...limbs...	Надо...двигать...конечностями...
...four sheep, five sheep, six sheep...	...четыре овечки, пять, шесть...
I'm coming to get you!	Я за тобой иду!
Flag it up!	Флаг вверх!
Check it out!	Глянь-ка!
Cult Favorite	Культовый любимчик
"Donate on 1-800-Conned-U!"	"Жертвуй на 8-800-Развод-Тебя!"
But my sacred mission...!?	Но моя священная миссия...!?
Let Adi heal you.	Пусть Ади тебя вылечит.
It cannot be!	Не может быть!
The eternal question: where to next?	Вечный вопрос: куда дальше?
Enlightenment!	Просветление!
Vile venom!?	Мерзкий яд!?
I'm turning to stone.	Я каменею.
I must rest.	Мне надо отдохнуть.
Join me, Badman!	Присоединяйся, Бэдмен!
Come, my faithful flock!	Идите, верная паства!
Salvation!	Спасение!
Here comes the big freeze!	Вот и большая заморозка!
Dicey Gambler	Рисковый игрок
"Wanna arm-wrestle?"	"На руки померимся?"
I escaped my debts at least.	Хоть от долгов сбежал.
Your gamble didn't pay off!	Твоя ставка не сыграла!
That's the way the cookie crumbles.	Вот так печенька крошится.
One more roll of the dice!	Ещё один бросок костей!
I'll trump you all!	Перебью вас всех!
I didn't bank on poison!	На яд не ставил!
I didn't bank on paralysis!	На паралич не ставил!
Must stay awa...Zzzz...	Надо не засн...Зззз...
Red? Or black?	Красное? Или чёрное?
Chow down!	Жри!
Ka-blooey!	Ка-бабах!
Stay!	Стой!
Going deep undercover.	Ухожу в глубокий заслон.
C'mon, treasure hunters!	Давайте, охотники за кладом!
Lazy Layabout	Ленивый лежебока
"I just want to be me!"	"Я просто хочу быть собой!"
My race is run...	Мой забег окончен...
Finders keepers!	Нашёл — моё!
Too bad, buddy.	Жаль, дружок.
Touch base.	На связь.
Gimme!	Дай!
Somer-assault!	Кувырк-штурм!
This is worse than nettles!	Хуже крапивы!
Billy's tingling in a bad way.	Билли покалывает нехорошо.
Time for a nap.	Пора вздремнуть.
Where to next, Billy Boy?	Куда дальше, Билли-бой?
Save my place!	Займи моё место!
Billy's full of beans!	Билли полон сил!
Super Sleuth	Суперсыщик
"I gotta hunch..."	"У меня чутьё..."
Case closed...	Дело закрыто...
I always get my man.	Я всегда беру своего.
Nice knowin' ya.	Приятно было знать.
Sheesh...	Ёлки...
That's the stuff!	Вот это да!
It's mine, all mine!	Это моё, всё моё!
I'll spin you good!	Я тебя закручу!
Got a light, bud?	Огонёк есть, дружок?
A case o' poison.	Дело о яде.
A case o' paralysis.	Дело о параличе.
I'm noddin' off.	Меня клюёт.
The trail went cold...	След остыл...
Take a chill pill!	Остынь-ка!
I'm on the case!	Я на деле!
That's a fine barricade!	Классная баррикада!
Cuddly Droid	Милый дроид
"mu5t...de5tr0y...ev1deNce..."	"н4д0...ун1чт0ж1ть...улик1..."
5hutt1ng...d0wN...	выкл0ч4ю5ь...
eNgag1ng eNemy...	4т4кую вр4г4...
c0mradE d0wN...	т0в4р1щ п4л...
adju5t tact1c5...	м3няю т4кт1ку...
exterm1n8!	ун1чт0ж8!
c0mmeNc1Ng HP dra1N.	н4ч1н4ю 0тс0с ХП.
de5tr0y everyth1Ng!	ун1чт0ж1ть в5ё!
l1ght 0N!	св3т вкл!
p0150N	0тр4в4
paraly515	п4р4л1ч
5taNd-by...	0ж1д4н1е...
a55e551Ng s1tuat10N	0ц3нк4 0б5т4н0вк1
5ave p01Nt	т0чк4 50хр
Stylish Shaman	Стильный шаман
"What you lookin' at!?"	"Чё пялишься!?"
Death's not a good look...	Смерть тебе не к лицу...
Let's go, loser.	Пошли, лох.
Thanks for the memories.	Спасибо за воспоминания.
This is getting old.	Это уже старо.
Lighten the mood.	Развесели атмосферу.
Poison's so last year.	Яд — это прошлый сезон.
Paralysis is so uncool.	Паралич — это некруто.
Sweet dreams.	Сладких снов.
Hmmm...	Хммм...
Somnattack!	Сонная атака!
Drink up!	Пей!
That's gonna burn!	Это жжёт!
Fly, my lovelies!	Летите, прелести!
Wind chill factor!	Ветро-холодовой индекс!
Shelter from the storm!	Укрытие от бури!
Fearless Fanatic	Бесстрашный фанат
"Accept no imitations!"	"Не принимай подделок!"
