Dungeon-a-Day	Данж на день
Daily Challenge	Данж на день
God Aptitude Test (GAT)	Экзамен на бога (GAT)
Profile	Профиль
в†‘в†“: SelectгЂЂГ—: OKгЂЂв—‹: Back	в†‘в†“: выборгЂЂГ—: OKгЂЂв—‹: назад
Your Level:	Твой уровень:
Best Result	Лучший итог
READY	READY
SET	SET
Part 1: Q.1 в†’ Q.10	Часть 1: В.1 → В.10
Part 2: Q.11 в†’ Q.20	Часть 2: В.11 → В.20
Part 3: Q.21 в†’ Q.30	Часть 3: В.21 → В.30
Part 4: Q.31 в†’ Q.40	Часть 4: В.31 → В.40
Part 5: Q.41 в†’ Last Question	Часть 5: В.41 → последний вопрос
Part 6: Stage 51 в†’ Stage 60	Часть 6: этап 51 → этап 60
Part 7: Stage 61 в†’ Stage 70	Часть 7: этап 61 → этап 70
Part 8: Stage 71 в†’ Stage 80	Часть 8: этап 71 → этап 80
Part 9: Stage 81 в†’ Stage 90	Часть 9: этап 81 → этап 90
Part 10: Stage 91 в†’ Last Stage	Часть 10: этап 91 → последний этап
Press в—‹ Button	Жми ○
High Score	Рекорд
Pass Mark	Проходной балл
Maximum Score	Максимум
Difficulty	Сложность
No. of Stages	Этапов
Time Limit	Лимит времени
Start	Старт
Attack 10	Атака 10
Attack 30	Атака 30
Attack 50	Атака 50
Lv. 1 Overall Result	Ур. 1 общий итог
Lv. 2 Overall Result	Ур. 2 общий итог
Lv. 3 Overall Result	Ур. 3 общий итог
Lv. 4 Overall Result	Ур. 4 общий итог
Lv. 5 Overall Result	Ур. 5 общий итог
Overall 50 Trial Result	Итог 50 испытаний
Stages Cleared	Этапов пройдено
Clear Time	Время
Difficulty Selection	Выбор сложности
Score	Очки
в–і: Retry	△: ещё
в–і: Enlarge Chart  в–Ў: Game Details  в—‹: Finish	△: график+  □: детали  ○: выход
в†‘в†“: ScrollгЂЂв–Ў: ChartгЂЂв—‹: Finish	↑↓: скролл　□: график　○: выход
Times Attempted	Попыток
Time Remaining	Осталось
Monsters Culled	Побито
Monsters Spawned	Призвано
Soil Dug	Выкопано
Mutations	Мутации
Barbarity	Варварство
Urgency	Срочность
Fiendishness	Подлость
Cunning	Хитрость
Evil Genius	Злой гений
Stages Cleared:	Этапов пройдено:
в†ђв†’: SelectгЂЂГ—: ChartгЂЂв—‹: Finish	←→: выбор　×: график　○: выход
в†ђв†’: SelectгЂЂГ—: View ResultsгЂЂв—‹: Back	←→: выбор　×: итоги　○: назад
в†ђв†’: SelectгЂЂв†‘в†“: ScrollгЂЂв—‹: Back	←→: выбор　↑↓: скролл　○: назад
Interim Result	Промеж. итог
Overall Result	Общий итог
в–і: Suspend	△: пауза
Spawn 7 Slimemosses	Призови 7 слизьмохов
Spawn 8 Slimemosses	Призови 8 слизьмохов
Spawn 9 Slimemosses	Призови 9 слизьмохов
Spawn 10 Slimemosses	Призови 10 слизьмохов
Spawn 15 Slimemosses	Призови 15 слизьмохов
Spawn an Omnom	Призови омнома
Spawn 2 Omnoms	Призови 2 омнома
Spawn 3 Omnoms	Призови 3 омнома
Mash the Mushrooms	Раздави грибы
Just Dig!	Просто копай!
Spawn a Wookiemon	Призови вукимона
Spawn 2 Wookiemon	Призови 2 вукимона
Spawn a Skeleslave	Призови скелераба
Grow 8 Sprouts	Вырасти 8 ростков
Grow 9 Sprouts	Вырасти 9 ростков
Grow 10 Sprouts	Вырасти 10 ростков
Grow 11 Sprouts	Вырасти 11 ростков
Grow 12 Sprouts	Вырасти 12 ростков
Grow 13 Sprouts	Вырасти 13 ростков
Grow 14 Sprouts	Вырасти 14 ростков
Grow 15 Sprouts	Вырасти 15 ростков
Grow 16 Sprouts	Вырасти 16 ростков
Spawn a Lilith	Призови лилит
Spawn 2 Liliths	Призови 2 лилит
Spawn 3 Liliths	Призови 3 лилит
Spawn a Golem	Призови голема
Defeat the Hero	Победи героя
Cull your entire horde	Прореди всю орду
Spawn 4 Omnoms	Призови 4 омнома
Spawn 6 Omnoms	Призови 6 омномов
Spawn a Diabro	Призови диабро
Spawn 2 Diabros	Призови 2 диабро
Spawn a Lilith and an Omnom	Призови лилит и омнома
Spawn 2 Liliths and 2 Omnoms	Призови 2 лилит и 2 омнома
Spawn an Aquachnid	Призови водяного паука
Spawn a Talos	Призови талоса
Spawn 2 Talos	Призови 2 талоса
Spawn 2 Lizardmen	Призови 2 ящера
Spawn 3 Lizardmen	Призови 3 ящера
Spawn 4 Lizardmen	Призови 4 ящера
Spawn 5 Lizardmen	Призови 5 ящеров
Spawn a Dragon	Призови дракона
Spawn 2 Dragons	Призови 2 дракона
Spawn 3 Dragons	Призови 3 дракона
Defeat the Heroes	Победи героев
Spawn an Omnom Fly	Призови муху-омнома
Spawn 2 Omnom Flies	Призови 2 мухи-омнома
Spawn 3 Omnom Flies	Призови 3 мухи-омнома
Get a Lizardman to lay an egg	Заставь ящера снести яйцо
Get Lizardmen to lay 2 eggs	Заставь ящеров снести 2 яйца
Get Lizardmen to lay 3 eggs	Заставь ящеров снести 3 яйца
Spawn an Ash Lady	Призови пепельную леди
Spawn a Diabro and a Golem	Призови диабро и голема
Spawn a Phantom Lady	Призови призрак-леди
