0	Сделай двагона\n\n・Сначала слепи обычного дракона.\n\n・Ослабь дракона и снова и снова\n  заставляй его нести яйца.\n\n
1	Сделай мазина и пепельную леди\n\n・Руна маны 3 ур. во втором слое\n  почвы — корми её духами.\n\n・Руна в третьем слое почвы.\n  Пусть не сосёт больше 30 пищи!\n\n
2	Сделай 3 страшных леди и 2 кристальных\n\n・Руны с 30+ пищи → страшные леди.\n  Руны с 30+ маны → кристальные.\n\n・Не в курсе, как рунам сосать\n  пищу и ману? Глянь Трен. 11.\n\n
3	Сделай слизереллу\n\n・Сначала слепи слизьмоха из почвы,\n  что всосала 8 или больше маны.\n\n・Когда у слизьмоха вылезет цветок,\n  родится слизерелла.\n\n
4	Сделай уникального гада\n\n・Наведи курсор на почву в центре\n  и жми × — увидишь статус.\n\n・Гадами набей почву: 16 пищи\n  и 16 маны.\n\n
5	Сделай геркуломнома\n\n・Мухи-омномы, набитые маной,\n  рожают геркуломномов.\n\n・Помни: мочить героев — средство,\n  не цель!\n\n
6	Прореди слизьмохов и сделай вукимона\n\n・Коси только слизьмохов\n  прямо над почвой в центре.\n\n・Удачной охоты!\n\n
7	Заставь 2 супер-шипастика снести яйца\n\n・Сначала слепи водяных пауков —\n  жрачку супер-шипастиков.\n\n・Гони добычу к хищникам.\n  Если шипастики слабеют — корми мигом.\n\n
8	Сделай 99 плесеней\n\n・Когда вода данжа касается святой,\n  сама становится святой — и бесполезной.\n\n・Водная сила: плесень прёт,\n  даже если давишь её.\n\n
9	Доведи воду до ископаемого\n\n・Гони всю воду к ископаемому\n  у дна данжа.\n\n・Не слей ни капли —\n  иначе капут!\n\n
10	Доставь пищу и сделай ящера\n\n・Снова и снова лепи и коси\n  слизьмохов — пища в центр.\n\n・Юзай планировку данжа,\n  чтоб крутить ход слизьмохов.\n\n
11	Сделай из скелемена короля понтов\n\n・Пусть скелемен нанесёт\n  смертельный удар всем героям.\n\n・Раскидай героев: скелемен\n  не вывезет всех сразу.\n\n
12	Сделай длинного дракона\n\n・Начни с двагона.\n\n・Накачай двагона маной:\n  пусть жрёт магических гадов.\n\n
13	Сделай 10 муравьиных куч\n\n・Кувшинки уже стоят,\n  так что лепи омномов как обычно.\n\n・Оставь омномам чуть места —\n  и они сбацают кучи.\n\n
14	Победи героев\n\n・Нужен глубокий длинный данж:\n  окопайся на войну на истощение.\n\n
15	Вызови мару и победи героя\n\n・Заставь героя снова и снова\n  топтать руну.\n\n・Копай пути вокруг руны,\n  чтоб герой петлял туда-сюда.\n\n・Жизненно важно следить\n  за маршрутами героя.\n\n
16	Победи героя водными гадами\n\n・С водой можно лепить героемочилок\n  без копки почвы.\n\n・Гады сыплют ману и пищу,\n  когда дохнут, — и лезут новые.\n\n
17	Юзай сундуки и мимиков\n\n・Взрывные сундуки и мимики\n  мигом режут ХП крепких героев.\n\n・Корми мимиков — копи силу,\n  и взрыв ударит больнее.\n\n
18	Победи героев\n\n・Бей с порога и рой почву,\n  которая уже готова рожать гадов.\n\n・Гляди в оба: герои любят\n  плескаться святой водой.\n\n
19	(Мям-мям-мям)\n\n・Бла!\n\n・Бла!\n\n・Бла!\n\n
20	■
21	体%s
22	魔%s
23	養%s
24	－
25	Защити меня от мерзкого героя\n\n・Если герои вытащат меня\n  из данжа — это Конец!\n\n・Выкопай мне глубокий данж,\n  чтоб герои в нём потерялись.\n\n・Героев мочить не обязательно.\n  Просто спрячь меня в тихий угол.\n\n
26	Вызови 1 диабро и 2 вукимона\n\n・Сначала блок почвы 3 ур.\n  и вырой все блоки вокруг.\n\n・Потом копни тот блок 3 ур. —\n  вылезет руна.\n\n・Вырой одну красную руну\n  и одну фиолетовую — и готово!\n\n
27	Поджарь охотника на драконов\n\n・Отыграйся на охотнике:\n  зажарь его драконом.\n\n・Драконы из почвы маны 3 ур.\n  Гоняй ману, качай почву.\n\n・Драконы ходят и бьют\n  только влево и вправо.\n\n
28	Заставь омномов мутировать\n\n・Сначала просто ничего не делай.\n\n・Когда омномы сдохнут с голоду\n  и начнут мутировать — лепи ещё кучу.\n\n・Так можно слепить омнома\n  умопомрачительной длины!\n\n
29	О нет! Герой!\n\n・Порядок хода героев фиксирован.\n  Этот прёт вправо, влево, вниз, вверх.\n\n・Прикинь пути героя\n  и поставь меня в самое тихое место.\n\n
30	Достань драконий шар\n\n・Стырь драконий шар, которым\n  этот гад-герой так гордится.\n\n・Когда ХП героя пополам —\n  он роняет шар, бей сразу!\n\n・Мочи героя проверенными\n  методами. У тебя же получается!\n\n
31	Сделай 10 слизьмохов\n\n・Копни кусок почвы 1 ур. —\n  вылезет слизьмох.\n\n・Почва 1 ур. выглядит плесневелой.\n  Почва 2 ур. — пудровая.\n\n・Копай до упаду и лепи\n  столько слизьмохов, сколько влезет!\n\n
32	Водой сделай 5 водяных пауков\n\n・Дрожащие блоки прячут родники.\n  Ткни — вода хлынет.\n\n・Вода + почва с пищей\n  = плесень.\n\n・Когда плесень станет бутоном\n  кувшинки — ткни мигом!\n\n
33	Гоняй пищу и сделай 10 омномов\n\n・Слизьмохи сосут и плюют пищу.\n  Идут прямо, пока не стукнутся в стену.\n\n・Юзай слизьмохов, чтоб набить\n  пищу в почву.\n\n・Махни киркой по почве 2 ур. —\n  родятся омномы!\n\n
34	Прикончи мерзких героев\n\n・Не забудь все жемчужины мудрости\n  с тренировок.\n\n・А если тренировки не прошёл —\n  лучше пробегись прямо щас!\n\n
35	Сделай кувшинку\n\n・Слепи кувшинку — ключ к развитию\n  IQ данжа.\n\n・Махни киркой, когда бутоны\n  самые жирные — будут кувшинки.\n\n・Полей почву, где уже есть пища, —\n  и бутон вылезет мигом.\n\n
